"path","locale","title","lines","words","counterpart","has_counterpart"
"docs/rust-supply-chain-policy.md","en/root","Rust Supply-Chain Policy","87","473","docs/zh/rust-supply-chain-policy.md","True"
"docs/security-model.md","en/root","Security Model","175","1339","docs/zh/security-model.md","True"
"docs/spec-gap-plan.md","en/root","Spec-gap fix plan","275","1611","docs/zh/spec-gap-plan.md","True"
"docs/SUMMARY.md","en/root","Summary","44","109","docs/zh/SUMMARY.md","True"
"docs/tech-stack-coverage.md","en/root","Tech-stack coverage","212","1816","docs/zh/tech-stack-coverage.md","True"
"docs/telemetry.md","en/root","Telemetry","223","1111","docs/zh/telemetry.md","True"
"docs/testing-approach.md","en/root","Testing approach — Neo Elastic Network","167","1292","docs/zh/testing-approach.md","True"
"docs/visual-guide.md","en/root","Visual guide / 可视化导览","74","181","docs/zh/visual-guide.md","True"
"docs/wallet-integration.md","en/root","Wallet integration patterns","166","827","docs/zh/wallet-integration.md","True"
"docs/zh/ARCHITECTURE.md","zh","架构(中文摘要)","187","827","docs/ARCHITECTURE.md","False"
"docs/zh/architecture-atlas.md","zh","架构文档导航","73","265","docs/architecture-atlas.md","True"
"docs/zh/architecture-glossary.md","zh","架构:术语表 + 组件目录","219","1068","docs/architecture-glossary.md","True"
"docs/zh/architecture-l1-vs-l2.md","zh","架构:L1 与 L2 的职责划分","213","978","docs/architecture-l1-vs-l2.md","True"
"docs/zh/architecture-l2-lifecycle.md","zh","架构:L2 链生命周期","362","1567","docs/architecture-l2-lifecycle.md","True"
"docs/zh/architecture-trust-boundaries.md","zh","架构:信任边界","205","916","docs/architecture-trust-boundaries.md","True"
"docs/zh/architecture-walkthrough.md","zh","架构导览","295","1166","docs/architecture-walkthrough.md","True"
"docs/zh/architecture-wire-formats.md","zh","架构:线协议格式","201","832","docs/architecture-wire-formats.md","True"
"docs/zh/external-bridge-evm-chains.md","zh","外链桥接入新 EVM 链","285","1112","docs/external-bridge-evm-chains.md","True"
"docs/zh/external-bridge-roadmap.md","zh","外链桥路线图","229","801","docs/external-bridge-roadmap.md","True"
"docs/zh/getting-started.md","zh","快速上手","164","547","docs/getting-started.md","True"
"docs/zh/launching-an-l2.md","zh","在 Neo Elastic Network 上线一条新 L2 链","720","2401","docs/launching-an-l2.md","True"
"docs/zh/persistence.md","zh","持久化","209","660","docs/persistence.md","True"
"docs/zh/plan-application-engine-and-mpt.md","zh","计划:ApplicationEngine 接入 + 真实状态根批次执行器","176","702","docs/plan-application-engine-and-mpt.md","True"
"docs/zh/README.md","zh","Neo Elastic Network(`neo4`)—— 中文文档","231","1074","docs/README.md","True"
"docs/zh/release-readiness-checklist.md","zh","发布就绪检查清单","89","282","docs/release-readiness-checklist.md","True"
"docs/zh/rust-supply-chain-policy.md","zh","Rust 供应链策略","81","305","docs/rust-supply-chain-policy.md","True"
"docs/zh/security-model.md","zh","安全模型","154","633","docs/security-model.md","True"
"docs/zh/spec-gap-plan.md","zh","规格空白修复计划","209","781","docs/spec-gap-plan.md","True"
"docs/zh/SUMMARY.md","zh","目录","44","78","docs/SUMMARY.md","True"
"docs/zh/tech-stack-coverage.md","zh","技术栈覆盖矩阵","187","1168","docs/tech-stack-coverage.md","True"
"docs/zh/telemetry.md","zh","可观测性","213","722","docs/telemetry.md","True"
"docs/zh/testing-approach.md","zh","测试方法论 —— Neo Elastic Network","156","824","docs/testing-approach.md","True"
"docs/zh/visual-guide.md","zh","可视化导览","72","150","docs/visual-guide.md","True"
"docs/zh/wallet-integration.md","zh","钱包接入模式","149","460","docs/wallet-integration.md","True"
"docs/zh/WHITEPAPER.md","zh","Neo Elastic Network —— 白皮书","541","2435","docs/WHITEPAPER.md","False"
"docs/zh/zksync-comparison.md","zh","ZKsync 弹性链 ↔ neo4 组件映射","194","989","docs/zksync-comparison.md","True"
"docs/zksync-comparison.md","en/root","ZKsync Elastic Chain ↔ neo4 component map","210","1557","docs/zh/zksync-comparison.md","True"
"external/foreign-contracts/eth/README.md","en/root","EVM-side bridge contracts","197","910","","False"
"external/foreign-contracts/sol/README.md","en/root","Solana-side bridge program","126","682","","False"
"external/foreign-contracts/tron/README.md","en/root","Tron-side bridge contracts","109","616","","False"
"IMPLEMENTATION_STATUS.md","en/root","Implementation Status","337","6362","","False"
"README.md","en/root","Neo Elastic Network (`neo4`)","236","2112","","False"
"samples/contracts/README.md","en/root","Sample L2 contracts","65","363","","False"
"samples/executors/README.md","en/root","Custom transaction executors","67","424","","False"
"samples/executors/Sample.CounterChainExecutor/README.md","en/root","Sample.CounterChainExecutor","92","537","","False"
"samples/README.md","en/root","Sample L2 chains + custom chain logic","131","892","","False"
"samples/watcher-configs/README.md","en/root","Sample watcher configs","99","480","","False"
"sdk/README.md","en/root","SDKs","48","290","","False"
"sdk/typescript/README.md","en/root","@neo-n4/sdk","48","186","","False"
"sdk/web-explorer/README.md","en/root","Neo Elastic Network — Web Explorer","44","292","","False"
"SECURITY.md","en/root","Security Policy","130","740","","False"
"src/Neo.L2.Executor/SPEC.md","en/root","Deterministic Batch Executor Spec","99","736","","False"
"TASKS.md","en/root","Neo N4 — Task Split","137","1148","","False"
"TECH_STACK.md","en/root","Neo N4 — Tech Stack at a Glance","173","1339","","False"
"tools/manuscript/README.md","en/root","Manuscript builder","153","767","","False"
"watchers/neo-bridge-watcher-eth/deploy/README.md","en/root","neo-bridge-watcher-eth — deployment manifests","191","989","","False"
"watchers/neo-bridge-watcher-eth/README.md","en/root","neo-bridge-watcher-eth","262","1739","","False"
"WHITEPAPER.md","en/root","Neo Elastic Network — Whitepaper","566","4061","","False"
